,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
0,00601,18450,36.6,12041,7380,10816,58.62330623306233
1,00602,41302,38.6,15663,8463,22409,54.25645247203525
2,00603,53683,38.9,15485,9176,26220,48.8422778160684
3,00606,6591,37.3,15019,6383,3721,56.45577302382036
4,00610,28963,39.2,16707,7892,14569,50.302109588095156
5,00612,68055,38.5,17848,10188,30695,45.10322533245169
6,00616,10183,40.9,15342,8767,4808,47.215948148875576
7,00617,24879,36.2,14982,7939,13362,53.707946460870616
8,00622,6165,42,14281,8751,3700,60.01622060016221
9,00623,44704,39.7,17389,9326,21322,47.69595561918396
10,00624,25340,34.2,14768,6761,15095,59.5698500394633
11,00627,34806,37.9,19527,9112,15541,44.65034764121128
12,00631,1747,43.9,11596,6561,906,51.86033199771036
13,00637,24996,38.8,16430,8045,12384,49.54392702832453
14,00638,18742,37.2,13860,6526,11271,60.13765873439334
15,00641,30401,38.7,14924,7479,16917,55.64619584882076
16,00646,38303,37.5,28306,14374,13665,35.67605670574106
17,00647,5640,41.3,13925,7384,3050,54.07801418439716
18,00650,14969,36.2,16133,7038,8176,54.619547063932124
19,00652,3461,40.1,12809,9406,1742,50.332273909274775
20,00653,13461,36.6,12595,6465,8990,66.7855285639997
21,00656,21172,36.5,15054,7534,11207,52.9331192140563
22,00659,41932,37.9,19199,9428,19332,46.10321472860822
23,00660,17151,42.4,21107,10609,5564,32.441257069558624
24,00662,43535,38.4,15600,8124,23794,54.65487538761916
25,00664,16508,33.9,19342,7841,8562,51.865762054761326
26,00667,25797,39.6,14081,6763,15533,60.21242780168237
27,00669,28984,37.7,11790,6600,18000,62.103229367927135
28,00670,9689,37.7,15817,7016,5527,57.044070595520694
29,00674,43848,37.9,18048,9838,20376,46.4696223316913
30,00676,39916,35.8,14697,7700,20916,52.40004008417677
31,00677,15108,41.3,15875,8986,8064,53.37569499602859
32,00678,27229,37.5,14877,7274,15659,57.50853869036689
33,00680,56003,38.6,15115,8745,27935,49.88125636126636
34,00682,32509,35,15067,10869,17053,52.45624288658525
35,00683,33442,40.6,15587,9178,15191,45.42491477782429
36,00685,41947,39.7,14623,7192,23075,55.00989343695616
37,00687,32609,33.8,14797,7060,18201,55.81587905179552
38,00688,13340,40.1,14148,6757,7206,54.01799100449775
39,00690,6299,33.8,19474,9251,2821,44.78488648991903
40,00692,37618,35,18500,9273,18509,49.20250943697166
41,00693,60211,37.4,16406,9051,30388,50.46918337180914
42,00694,157,70.5,10750,7616,132,84.07643312101911
43,00698,41179,39.2,15099,7491,22115,53.704558148570875
44,00703,29153,35.5,14673,7734,15885,54.48838884505883
45,00704,7867,34.2,12612,7229,4271,54.29007245455701
46,00705,25373,37.5,15892,8868,12258,48.31119694163087
47,00707,12070,39.1,18446,8134,6765,56.048053024026515
48,00714,19443,35.6,16350,8208,10037,51.62269197140359
49,00715,4315,41.1,14114,10149,2916,67.5782155272306
50,00716,32180,37.6,18878,11773,15438,47.973896830329394
51,00717,17972,32.9,12407,9120,10508,58.46872913420877
52,00718,26767,34.5,17123,9038,13837,51.69425038293421
53,00719,30793,35.7,16672,8819,15835,51.42402494073328
54,00720,23080,35.1,14903,6687,13781,59.70970537261699
55,00723,19017,39.4,14506,7851,10561,55.534521743703
56,00725,90206,37.3,20926,11273,37435,41.499456798882555
57,00727,56972,38.2,29433,15088,17588,30.871305202555643
58,00728,42692,36.4,18637,9100,20315,47.58502763983885
59,00729,54768,35.2,22438,10534,22334,40.779287174992696
60,00730,37931,37,16259,9768,19267,50.7948643589676
61,00731,14525,40.9,15733,8126,7712,53.09466437177281
62,00735,13495,38.7,19615,9433,5645,41.830307521304185
63,00736,51576,37.7,21206,11711,20654,40.04575771676749
64,00738,34492,38.4,22140,10894,13912,40.33399049054853
65,00739,38673,37.1,24638,11703,14432,37.31802549582396
66,00740,1760,27.7,11026,6968,1130,64.20454545454545
67,00741,5025,41.3,18397,8944,2220,44.17910447761194
68,00745,54681,37.3,23275,10634,21466,39.25678023445072
69,00751,23430,36,13565,7815,13836,59.052496798975675
70,00754,40330,37.3,17904,10004,18536,45.96082320852963
71,00757,23231,34.3,18033,9412,11382,48.99487753432913
72,00765,9206,41.9,17500,8414,3923,42.61351292635238
73,00766,25991,34.5,16517,7944,13927,53.58393289984995
74,00767,37442,37.7,17306,7960,19178,51.22055445756103
75,00769,40026,35.7,17710,8971,20296,50.70704042372458
76,00771,38504,36,18553,9367,18841,48.93257843340952
77,00772,21712,35.5,16432,7622,11561,53.24705232129698
78,00773,19918,38.4,18593,10408,8580,43.076614117883324
79,00775,1478,38.4,16188,8142,792,53.58592692828146
80,00777,40892,34.9,18574,9471,18837,46.0652450357038
81,00778,46109,36,27475,13892,16254,35.25125246698042
82,00780,13418,38.1,21706,13433,5554,41.39215978536294
83,00782,18504,36.4,12527,7026,10759,58.1441850410722
84,00783,36466,35.4,16201,7906,19171,52.57225909065979
85,00784,43746,35.2,17540,9170,20922,47.82608695652174
86,00786,335,47,22656,12059,12,3.582089552238806
87,00791,52760,38.5,20364,11115,22396,42.44882486732373
88,00794,30688,33,14986,7229,17847,58.15628258602711
89,00795,47580,35.4,17278,8381,24965,52.46952501050862
90,00901,6444,41.7,13620,21534,2783,43.18746120422098
91,00906,36,27.4,,19894,0,0.0
92,00907,17696,47.6,32570,32394,4978,28.130650994575046
93,00909,5910,39.1,16891,11825,2993,50.642978003384094
94,00911,7595,48.3,26611,25328,2136,28.12376563528637
95,00912,6541,38.3,18960,12254,2848,43.54074300565663
96,00913,8255,28.6,6926,10551,5831,70.63597819503332
97,00915,31812,37,13150,7368,18937,59.5278511253615
98,00917,20557,44.7,16802,12357,9733,47.34640268521672
99,00918,16472,39.5,26573,22652,6270,38.064594463331716
100,00920,18540,43.3,25463,14953,5945,32.06580366774541
101,00921,38077,36.2,18417,11498,17332,45.51829188223862
102,00923,28618,37.1,15959,10701,14621,51.09022293661332
103,00924,58061,35,19510,10939,26548,45.724324417423055
104,00925,6877,32.7,12847,9886,3592,52.23207794096263
105,00926,107139,40,35308,21058,28104,26.23134432839582
106,00927,15340,45.6,34572,28433,3418,22.28161668839635
107,00934,245,26.5,82721,25719,74,30.20408163265306
108,00936,1151,54.9,,13470,0,0.0
109,00949,81758,36.2,25514,12223,29966,36.65207074537048
110,00950,0,,,,0,
111,00951,16,,,,16,100.0
112,00952,9611,40.3,18768,9362,4075,42.399334096347935
113,00953,73236,34.8,28488,12741,25471,34.77934349227156
114,00956,77151,38.1,22212,10765,29768,38.58407538463533
115,00957,46252,37.1,23736,11453,17574,37.99619475914555
116,00959,48495,39.2,26264,14448,15296,31.541396020208268
117,00960,1496,32.8,,8586,12,0.8021390374331551
118,00961,32691,41.3,29931,15555,8712,26.649536569698082
119,00962,21717,34.7,16128,8444,11827,54.45963991343187
120,00965,8988,36,16139,7683,4980,55.40720961281709
121,00966,16371,42,52463,34449,2809,17.158389835685053
122,00968,3532,56.4,41936,36866,349,9.881087202718007
123,00969,42756,39.6,50811,26581,7142,16.70408831509028
124,00971,30410,40.7,23241,13223,11629,38.24071029266688
125,00976,63387,36.3,30372,15048,19646,30.993736886112295
126,00979,16248,46.4,37906,26361,3099,19.07311669128508
127,00982,16216,42.6,26148,13244,4965,30.61790823877652
128,00983,41590,36.8,27125,13949,12863,30.928107718201492
129,00985,36507,39.7,25509,12127,12272,33.61547100556058
130,00987,59324,36.3,31546,14072,16571,27.933045647629964
131,01001,17245,43.7,58733,28457,1537,8.912728327051319
132,01002,29266,22.9,54422,27691,7418,25.34681883414201
133,01003,11032,19.9,,3531,1,0.009064539521392313
134,01005,5356,42.2,68644,31686,251,4.686333084391337
135,01007,14673,41.3,71875,32222,1220,8.314591426429496
136,01008,1144,47.1,71635,32457,53,4.6328671328671325
137,01009,716,44,38644,26422,153,21.368715083798882
138,01010,3635,45.4,81196,36406,222,6.1072902338376895
139,01011,1414,43.6,64891,26847,129,9.123055162659123
140,01012,577,51,58750,30189,42,7.279029462738301
141,01013,22113,35.5,41273,20889,3731,16.872427983539094
142,01020,30571,43.4,51255,27207,3163,10.346406725327926
143,01022,2794,37.4,58938,29618,551,19.720830350751612
144,01026,1057,47.9,52155,31585,84,7.947019867549669
145,01027,17605,43.2,59963,31327,1198,6.804884975859131
146,01028,15816,45.5,80469,36171,675,4.26783004552352
147,01029,596,53.1,54330,33352,57,9.563758389261745
148,01030,11310,44.4,71228,31992,1243,10.99027409372237
149,01031,1484,43.1,42404,28090,276,18.598382749326145
150,01032,570,49.1,61806,33395,21,3.6842105263157894
151,01033,6182,44.9,73816,31069,222,3.591070850857328
152,01034,2174,46.2,77500,32908,129,5.93376264949402
153,01035,5254,45,73250,36471,403,7.670346402740769
154,01036,5129,48.4,81130,35699,231,4.5038019107038405
155,01037,624,53.6,84444,42109,58,9.294871794871796
156,01038,2832,47.7,61603,36282,236,8.333333333333334
157,01039,1566,50.2,72188,36880,114,7.2796934865900385
158,01040,40029,36,31628,19968,12298,30.722726023632866
159,01050,2548,41.5,56184,26597,210,8.241758241758241
160,01053,1909,51,64896,25039,276,14.457831325301205
161,01054,1759,50.3,73000,40416,182,10.346787947697555
162,01056,21247,44.4,61073,31117,1025,4.8242104767731915
163,01057,8707,45,64747,32046,917,10.531756058343861
164,01060,15026,34.2,52607,33655,2205,14.674564088912552
165,01062,11007,43.8,65756,39088,1063,9.657490687744163
166,01063,644,20.2,,2353,0,0.0
167,01066,0,,,,0,
168,01068,1839,44.7,85556,32805,84,4.567699836867863
169,01069,8975,42.2,53417,26238,677,7.543175487465181
170,01070,579,54.5,63889,30544,36,6.217616580310881
171,01071,1401,44.5,75363,33090,29,2.0699500356887937
172,01072,1464,47,66705,35493,123,8.401639344262295
173,01073,5878,41.2,80000,34196,228,3.8788703640694115
174,01074,56,38.1,,38243,0,0.0
175,01075,17796,41.6,61431,30643,1138,6.394695437176893
176,01077,9552,43.4,78476,35587,433,4.533082077051926
177,01079,495,46,34906,29734,40,8.080808080808081
178,01080,2012,43.2,40559,22950,363,18.041749502982107
179,01081,1703,44.7,56726,30411,94,5.519671168526131
180,01082,10318,45.3,51717,28354,1372,13.297150610583447
181,01083,3137,34.1,39521,22435,334,10.647115078100096
182,01084,209,55.5,51667,31790,12,5.741626794258373
183,01085,40721,39.1,59881,28943,3690,9.061663515139609
184,01086,1219,19.6,,1963,0,0.0
185,01088,451,63,43234,32414,110,24.390243902439025
186,01089,28498,39.5,54126,27853,3475,12.19383816408169
187,01092,1080,32.9,55370,34201,198,18.333333333333332
188,01093,282,52.5,83750,42234,21,7.446808510638298
189,01094,340,54.1,18241,25777,24,7.0588235294117645
190,01095,14344,48.1,86667,38687,671,4.677914110429448
191,01096,2249,44.8,65365,33128,104,4.624277456647399
192,01097,83,22.7,42031,13883,3,3.6144578313253013
193,01098,1081,52.9,69079,35343,53,4.902867715078631
194,01103,2556,33,14133,17095,1244,48.6697965571205
195,01104,23083,34.7,32273,17307,6361,27.557076636485725
196,01105,12360,26.6,18402,12137,6259,50.63915857605178
197,01106,16018,45,103472,53449,749,4.675989511799226
198,01107,11271,29.5,21737,12440,4821,42.773489486292256
199,01108,25755,31.7,34064,18347,7041,27.338380896913222
200,01109,31429,26.4,33376,13938,9412,29.946864360940534
201,01118,13722,40.5,62283,29528,1399,10.195306806587961
202,01119,13962,35.1,46055,21261,2207,15.807190946855751
203,01128,2468,46.8,78864,33573,32,1.2965964343598055
204,01129,7505,38,61435,26752,1097,14.616922051965357
205,01151,9134,30.6,30043,16169,3498,38.29647470987519
206,01199,0,,,,0,
207,01201,45887,43.8,42633,26738,7518,16.38372523808486
208,01220,8586,43.6,40443,24753,952,11.087817377125553
209,01222,805,45.8,75598,40683,18,2.2360248447204967
210,01223,2346,50.5,54904,37301,214,9.121909633418586
211,01224,322,23.7,90223,22426,13,4.037267080745342
212,01225,3059,46.6,49788,28804,377,12.324288983327884
213,01226,6981,47,51827,28082,756,10.829394069617534
214,01229,111,39.5,68125,24606,0,0.0
215,01230,8200,47.1,51467,35004,671,8.182926829268293
216,01235,3032,45.2,64420,28315,168,5.54089709762533
217,01236,1631,42.8,51964,29869,50,3.065603923973023
218,01237,2509,41.5,71932,36849,28,1.1159824631327222
219,01238,6198,45.3,59477,33848,566,9.131978057437884
220,01240,4818,52.7,51464,37359,696,14.44582814445828
221,01242,155,57.3,55167,31279,3,1.935483870967742
222,01243,345,55.3,67411,35263,5,1.4492753623188406
223,01244,150,60.3,29125,24298,20,13.333333333333334
224,01245,726,54,52500,37324,93,12.809917355371901
225,01247,16025,41.3,41103,22181,2565,16.006240249609984
226,01253,742,48.5,67917,36261,58,7.816711590296496
227,01254,997,54.3,95125,50182,24,2.407221664994985
228,01255,930,48,55917,29539,39,4.193548387096774
229,01256,675,44.6,56500,28533,49,7.2592592592592595
230,01257,2183,49.5,50543,33690,327,14.979386165826844
231,01258,304,60.2,56607,41482,27,8.881578947368421
232,01259,613,51.8,70074,43844,20,3.2626427406199023
233,01260,240,46.1,74615,25668,11,4.583333333333333
234,01262,1257,49.7,41648,33165,153,12.171837708830548
235,01264,167,69.6,70625,51626,39,23.353293413173652
236,01266,1433,54.6,76953,44493,61,4.256803907885555
237,01267,7985,39.3,72352,33717,369,4.621164683782092
238,01270,806,49.2,68456,32940,62,7.6923076923076925
239,01301,17806,42.9,48319,27354,2619,14.708525216219252
240,01330,1540,48.5,72560,35226,98,6.363636363636363
241,01331,13383,41,50498,23736,1872,13.98789509078682
242,01337,2609,49.2,58875,31366,117,4.4844768110387125
243,01338,169,52.1,69886,39439,5,2.9585798816568047
244,01339,1597,49.7,50536,29981,236,14.777708202880401
245,01340,1784,46.5,49886,29025,187,10.48206278026906
246,01341,1605,47.9,77500,37209,91,5.669781931464175
247,01342,1506,43.2,99675,46508,74,4.913678618857902
248,01343,76,57.4,81806,38675,0,0.0
249,01344,1526,39,57500,24274,141,9.239842726081259
250,01346,448,54,65000,33809,49,10.9375
251,01347,93,38.5,31250,16610,21,22.580645161290324
252,01349,844,52.1,50714,27191,137,16.232227488151658
253,01350,117,41.5,36875,23709,13,11.11111111111111
254,01351,2253,45.5,70799,34353,192,8.5219707057257
255,01354,1532,47.8,74583,34215,130,8.485639686684074
256,01355,990,42.1,68929,28963,69,6.96969696969697
257,01360,3033,45.5,60608,32021,135,4.451038575667655
258,01364,7960,40.2,45758,21734,984,12.361809045226131
259,01366,1294,50.2,76094,33059,92,7.109737248840804
260,01367,590,43.3,47279,26501,97,16.440677966101696
261,01368,1161,43.7,60750,27999,161,13.867355727820843
262,01370,4113,47.9,53516,29074,309,7.512764405543399
